adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_names
False,/eCynaAOgYYiw5yN5lBwz3IxqvaW.jpg,"16, 10751, 12",12,en,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",22.1498,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,2003-05-30,Finding Nemo,False,7.817,20346,"Animation, Family, Adventure"
False,/1jdPUUSy37Wzw3xuc8otI86X2gv.jpg,"16, 14, 10402, 878",1575337,ja,超かぐや姫！,"Iroha's life gets knocked off its orbit when Kaguya, a carefree runaway from the Moon, moves in and convinces her to perform in a virtual world together.",25.2793,/9I9cM38gecZcwJ0C6r0cwfvtPJP.jpg,2026-01-22,Cosmic Princess Kaguya!,False,8.3,56,"Animation, Fantasy, Music, Science Fiction"
False,/eZJ3z1aAcHzoYmPSxuJjaYRMgi3.jpg,"28, 80, 18",1262547,hi,सूबेदार,"Haunted by loss and drifting away from his daughter, a retired Subedaar Arjun Maurya’s newly found civilian life is jolted by one reckless act. As old wounds reopen, he must summon the warrior within to face a new kind of war - one that hits too close to his heart.",23.4898,/gKn63ZWEVK66OaC1svlI7g6r9ah.jpg,2026-03-05,Subedaar,False,6.0,2,"Action, Crime, Drama"
False,/Bwh7Lol5k3hSqYOtqXWxbbJVMx.jpg,"28, 12, 878",634649,en,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",25.5218,/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,2021-12-15,Spider-Man: No Way Home,False,7.933,21648,"Action, Adventure, Science Fiction"
False,/gQimJqYMKCkwHIo8wwYKhmnCfBr.jpg,"28, 80, 53",1242501,en,Icefall,"A young Indigenous game warden arrests an infamous poacher only to discover that the poacher knows the location of a plane carrying millions of dollars that has crashed in a frozen lake. When a group of criminals and dirty cops are alerted to the poacher’s whereabouts, the warden and the poacher team up to fight back and escape across the treacherous lake before the ice melts.",21.6048,/5Byv6nznAb2Izd0gHpODOXnuSbo.jpg,2025-10-16,Icefall,False,6.4,136,"Action, Crime, Thriller"
False,/gpJr8wRED8BpBVaxM0eODQEBNwC.jpg,"878, 28, 35",650524,cn,尋秦記,"In the Qin Dynasty, time-traveller Hong Siu-lung has lived in seclusion with his family for twenty years. Yet every step he takes remains under the watchful eye of his former disciple, now the Qin Emperor. On the brink of ultimate power after conquering the six warring states, the emperor is suddenly ambushed by a mysterious team wielding advanced weapons clearly originating from Hong’s time. Drawn together by fate again, Hong and Qin Emperor are forced to confront the long-buried conflict between them, because the future now depends on how they settle their past.",22.2166,/h3OUaPfCaFmzwB2eMHik50RsXlP.jpg,2025-12-31,Back to the Past,False,6.2,21,"Science Fiction, Action, Comedy"
False,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,"28, 80, 53",385687,en,Fast X,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",23.3294,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,2023-05-17,Fast X,False,7.002,6227,"Action, Crime, Thriller"
False,/6kzl59vQvnEVMMd3gVo5xaEA7n5.jpg,"10749, 18",369471,ja,ダイアモンドは傷つかない,"A college student has an affair with a married, middle-aged teacher.",25.0969,/mNXJeugqzzWPRfclrFwmkefGaOr.jpg,1982-05-15,The Unspoiled Diamond,False,3.6,5,"Romance, Drama"
False,/a21fC2MBassba5GwzaJ1Tpdapon.jpg,"27, 878",31119,en,Monster a Go-Go!,"A space capsule crash-lands on Earth, and the astronaut aboard disappears. Is there a connection between the missing man and the monster roaming the area?",19.9397,/qo7KOaQjodrJ2KfHjQaUwi6MTKw.jpg,1965-07-01,Monster a Go-Go!,False,2.188,48,"Horror, Science Fiction"
False,/8P7DLHSqtuGX5hzWfRHXnU5Pov0.jpg,27,1480387,en,undertone,The host of a popular paranormal podcast becomes haunted by terrifying recordings mysteriously sent her way.,20.6325,/1wREWUEHzjDWSreNFbFLDO7YEaM.jpg,2026-03-12,undertone,False,6.0,1,Horror
False,/xmnqFHhGNYHf5JFy4GSfiIEG0ly.jpg,"80, 28, 18",1429738,th,ตี๋ใหญ่ ฤกษ์ดาวโจร,"In 1980s Bangkok, a wily thief stages a series of daring heists, baffling the authorities and the public — until one cop sets out to take him down.",23.7103,/ig00LBM2rv4fmCJOPATyRWOJnlL.jpg,2025-11-12,Tee Yai: Born to Be Bad,False,5.256,45,"Crime, Action, Drama"
False,/nv5wwZou159v5OC61i4ElR7OqyY.jpg,"14, 16, 12",4935,ja,ハウルの動く城,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",24.4274,/13kOl2v0nD2OLbVSHnHk8GUFEhO.jpg,2004-09-09,Howl's Moving Castle,False,8.386,10876,"Fantasy, Animation, Adventure"
False,/sDTnMOJ3H5wI38OxObmCtK7wfd5.jpg,"16, 35, 10751",585,en,"Monsters, Inc.","Lovable Sulley and his wisecracking sidekick Mike Wazowski are the top scare team at Monsters, Inc., the scream-processing factory in Monstropolis. When a little girl named Boo wanders into their world, it's the monsters who are scared silly, and it's up to Sulley and Mike to keep her out of sight and get her back home.",21.2134,/wFSpyMsp7H0ttERbxY7Trlv8xry.jpg,2001-11-01,"Monsters, Inc.",False,7.847,19548,"Animation, Comedy, Family"
False,,"36, 12, 10752, 18",3100,en,A Life in Suitcases: A History of Tulse Luper,"A comic study of 20th-century history, reconstructing the life of writer, creator and professional prisoner Tulse Luper. Born in 1911 Newport and last heard of in 1989, Luper’s life is pieced together from the evidence found in 92 suitcases scattered across the globe. A Life in Suitcases condenses the six-hour trilogy into a single two-hour feature, and in doing so, accentuates the project as a filmic essay in multiple narratives, listings, sidebars, footnotes, commentaries and anecdotes; a project for an Information Age ready to understand that there never is a phenomenon called History, there can only be Historians, gatekeepers to vested interests.",20.8329,/8JlACETC5KibBxpfeMiNBzUNNEQ.jpg,2005-07-07,A Life in Suitcases: A History of Tulse Luper,False,5.3,3,"History, Adventure, War, Drama"
False,,99,500948,pt,Um Moço de 74 Anos,"Documentary about the history of Jornal do Brasil, founded on April 14, 1891.  In 1965, the Jornal do Brasil marked its innovative and active position, as recorded in the documentary ""A Seventv-Four- Year-Old Fellow"" by the filmmaker Nelson Pereira dos Santos, and the story itself was in charge of confirming. In the following years, the newspaper would witness the most remarkable events of the second half of the twentieth century in Brazil and in the world. It would applaud the democratic struggles and independence of peoples, support social demonstrations against oppression and justice at all levels. Tirelessly, he did not hesitate to report the truth of the facts, regardless of the circumstances in which they presented themselves.",20.523,/w0xa8BxGKQvAg5lcAgS6V3SIo8j.jpg,1964-01-01,A Seventy-Four Year-Old Fellow,False,0.0,0,Documentary
